id,bed,bird,cat,dog,down,eight,five,four,go,happy,house,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,wow,yes,zero
0,1.3564835,1.8131183,1.8496602,1.2388973,1.3496044,1.6280863,1.2223895,1.705555,1.4453396,1.8559035,1.3783592,1.7409341,1.6257639,1.7171923,1.2555885,1.4213825,-1.0197637,-0.70632327,1.5190874,1.5574694,1.2269913,1.3650609,1.2388524,-0.76830775,-0.68840927,1.3002341,1.7333509,-0.5143262,-0.90259475,1.5218643
1,1.3562728,1.8130916,1.849722,1.2388422,1.3496716,1.6280507,1.2220613,1.7054055,1.4453769,1.8558,1.3781267,1.7409348,1.6255839,1.7172586,1.2556959,1.4211144,-1.0199263,-0.7064209,1.5189422,1.557522,1.2269784,1.3651183,1.2389657,-0.7681651,-0.68828976,1.300226,1.7333136,-0.5142108,-0.90240693,1.521611
2,1.3562617,1.8130614,1.8495573,1.238853,1.349768,1.627913,1.2220865,1.7052474,1.4453313,1.8556709,1.3781121,1.7408302,1.6255814,1.717222,1.2555517,1.4210393,-1.0199163,-0.70628774,1.5190152,1.557559,1.2269486,1.36499,1.2389762,-0.7681181,-0.68833345,1.3001206,1.7332371,-0.5142036,-0.90251744,1.5215245
3,1.356173,1.8131251,1.8497027,1.2387543,1.349633,1.628046,1.2219934,1.7053068,1.4453632,1.8557571,1.3780134,1.7409383,1.625528,1.7173336,1.2557632,1.4210038,-1.0200113,-0.706434,1.5189981,1.5575455,1.2270595,1.3652085,1.2389224,-0.7681322,-0.68833256,1.3002319,1.7332926,-0.51421773,-0.90233845,1.5215478
4,1.3562167,1.8131133,1.8496692,1.2387793,1.3496357,1.6280245,1.2220813,1.7053137,1.4453413,1.8557426,1.3780587,1.7409036,1.6255832,1.7172784,1.2557077,1.4210315,-1.0199438,-0.7063817,1.5190187,1.5575246,1.2270505,1.3651683,1.2388792,-0.7681403,-0.688343,1.3002082,1.7332625,-0.5142259,-0.9024034,1.5215706
5,1.3562472,1.813057,1.8496305,1.2388483,1.3496908,1.6279459,1.222149,1.7052946,1.4453608,1.8557023,1.3781112,1.7408743,1.6256198,1.7172055,1.2556103,1.4211,-1.0198754,-0.70632744,1.5190054,1.5575055,1.2270052,1.3650699,1.2389193,-0.7681076,-0.6883083,1.3001674,1.7332532,-0.5142296,-0.90251875,1.5215672
6,1.3562582,1.8131554,1.849728,1.2387708,1.3495661,1.6281165,1.2221069,1.7054117,1.4453584,1.8558286,1.3780919,1.7409652,1.6255952,1.7173244,1.2557733,1.4211252,-1.0199598,-0.7064407,1.519047,1.5575091,1.2270913,1.3652278,1.2388791,-0.7681992,-0.68836915,1.3002675,1.7333245,-0.51426953,-0.90236217,1.5216672
7,1.355954,1.8130732,1.8496013,1.2386578,1.349735,1.6278857,1.2216787,1.7049899,1.4452932,1.8554934,1.3777505,1.7408543,1.6252875,1.7173914,1.2557912,1.4206126,-1.020164,-0.70642406,1.5189201,1.5575753,1.2270846,1.3652081,1.238923,-0.76795906,-0.6882935,1.300134,1.7331575,-0.51407564,-0.9021659,1.521211
8,1.3562657,1.8130648,1.8496225,1.2387727,1.3496565,1.6280156,1.222084,1.7053492,1.4452702,1.8557615,1.3781146,1.7408544,1.6255697,1.7172084,1.255634,1.4210413,-1.019867,-0.70636153,1.5189598,1.557505,1.2269559,1.3650726,1.238857,-0.76819813,-0.6883595,1.300164,1.7332326,-0.5141993,-0.9023749,1.521578
9,1.3565371,1.813187,1.8497016,1.2389584,1.3495789,1.6281289,1.222496,1.7056072,1.445422,1.8559543,1.3784164,1.7410009,1.6258637,1.7172395,1.2556139,1.4215217,-1.0198029,-0.7063114,1.5192072,1.5574926,1.2270632,1.365114,1.2389042,-0.76831913,-0.6884274,1.3002905,1.7334267,-0.5144119,-0.9027172,1.5219846
10,1.3562081,1.8131334,1.8496944,1.2387826,1.3496827,1.6280626,1.221938,1.7053282,1.4453672,1.8557804,1.3780428,1.7409405,1.6255157,1.7173506,1.2557395,1.4210228,-1.0200548,-0.70643246,1.5189928,1.5575829,1.2270006,1.3651586,1.2390077,-0.76816136,-0.68833464,1.3002317,1.7333213,-0.51421434,-0.90233064,1.5215644
11,1.3565885,1.8132471,1.849757,1.2389344,1.3495063,1.6282194,1.2225577,1.7057123,1.4454308,1.8560405,1.3784616,1.7410518,1.6258848,1.7172935,1.255695,1.4215615,-1.019807,-0.7063611,1.5192351,1.5574802,1.2271295,1.3652042,1.2388254,-0.76838475,-0.68845767,1.3003606,1.7334676,-0.51442593,-0.9026689,1.5220661
12,1.3562036,1.8131077,1.8496159,1.2387937,1.3497179,1.6279763,1.2220035,1.7052433,1.4453428,1.8556992,1.3780389,1.7408769,1.6255342,1.7173033,1.2556728,1.4209774,-1.0200046,-0.7063573,1.5190246,1.5575647,1.2270123,1.3651152,1.2389523,-0.76812387,-0.68833894,1.3001776,1.7332621,-0.5141974,-0.9024033,1.5215083
13,1.3563658,1.8132498,1.8496554,1.2388462,1.3496231,1.628107,1.2222601,1.705415,1.4454126,1.8558439,1.378192,1.7409654,1.6256897,1.7173873,1.255719,1.4212167,-1.0200049,-0.7063535,1.5192388,1.5575707,1.2271558,1.3652104,1.2389169,-0.7682381,-0.68843627,1.3002754,1.733374,-0.51432985,-0.90253454,1.5217614
14,1.3559543,1.8131194,1.8496596,1.2386287,1.3496894,1.6279494,1.2216545,1.7050385,1.44532,1.8555489,1.3777487,1.7409202,1.6252646,1.7174708,1.2558776,1.4206355,-1.0202267,-0.7064898,1.5189358,1.5575864,1.2271347,1.3652965,1.2389212,-0.76798856,-0.6883104,1.3001956,1.7332153,-0.51409173,-0.90210855,1.5212624
15,1.3564944,1.8132911,1.849721,1.2389355,1.3496044,1.6281875,1.2223985,1.7055707,1.4454719,1.855979,1.3783448,1.741035,1.625828,1.7173808,1.2557106,1.4214455,-1.0199698,-0.7063472,1.5192955,1.557574,1.2271277,1.365218,1.2389712,-0.7683193,-0.6884524,1.300338,1.733474,-0.5144175,-0.9026593,1.521959
