id,bed,bird,cat,dog,down,eight,five,four,go,happy,house,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,wow,yes,zero
0,2.7522833,-0.7589573,1.544328,1.3999134,1.1639359,1.2211232,2.0523384,1.5537081,-0.30268303,1.2066734,1.2532818,-1.2855598,-0.5266339,1.1878768,1.2267014,1.2179354,1.3047434,1.7421671,1.1625291,1.2114829,1.7165501,1.3260143,1.2169424,1.2865562,1.5976592,1.6330619,2.0956855,1.1789205,1.2269132,1.6479656
1,2.7528968,-0.75892186,1.5447758,1.4000237,1.1640528,1.2211708,2.051987,1.5533856,-0.30263737,1.2067736,1.2536403,-1.2857282,-0.5267728,1.187775,1.2265216,1.2176088,1.3050653,1.742457,1.1624751,1.2117908,1.7165955,1.3259984,1.2171351,1.286314,1.5978334,1.6328654,2.0957685,1.1789767,1.2270766,1.6479942
2,2.7525084,-0.758644,1.5442646,1.3997284,1.163827,1.220589,2.051979,1.553741,-0.302464,1.2070744,1.2532766,-1.2857233,-0.5265924,1.1875514,1.226642,1.2175639,1.3049197,1.742349,1.1625481,1.2121396,1.716537,1.3264623,1.2169282,1.2859957,1.5977509,1.6334164,2.095116,1.1787858,1.2271066,1.6477491
3,2.7529068,-0.75873727,1.544753,1.3996413,1.1640885,1.2211182,2.0516965,1.5533841,-0.30263224,1.2069792,1.2535845,-1.2858208,-0.5267663,1.1875976,1.2263945,1.2173228,1.3051472,1.7424148,1.1624855,1.2121043,1.7167009,1.3260639,1.2171552,1.2858648,1.5979694,1.6330237,2.0954227,1.1787789,1.2271957,1.647874
4,2.7525764,-0.7586466,1.5444717,1.3995236,1.1639948,1.2209413,2.0518117,1.55361,-0.30259532,1.2070241,1.2533597,-1.2857757,-0.5266938,1.1875052,1.2265106,1.2174286,1.3049839,1.7422781,1.1625545,1.2120923,1.7166494,1.326222,1.2170317,1.2858635,1.597899,1.6332521,2.0951862,1.1787537,1.2271473,1.6477681
5,2.7522995,-0.75867754,1.5443647,1.399758,1.1638795,1.2208217,2.0519419,1.5537411,-0.30254734,1.2068985,1.253343,-1.2856857,-0.52662873,1.1875671,1.2266909,1.2176816,1.3047419,1.7422283,1.1625226,1.2118299,1.7165632,1.3263249,1.216994,1.286089,1.5977372,1.633146,2.0953288,1.1788906,1.2270417,1.6477916
6,2.7528055,-0.75882,1.5447055,1.3996631,1.1641095,1.2212368,2.051846,1.5533767,-0.30269077,1.2068597,1.2535019,-1.2857515,-0.5267811,1.1876869,1.2263963,1.2174224,1.3051054,1.7423385,1.162492,1.2119352,1.7166816,1.3259246,1.2171153,1.2860559,1.5979301,1.6329858,2.095535,1.1787937,1.2271158,1.6478965
7,2.7529583,-0.7584034,1.5446708,1.3992584,1.1640491,1.2207395,2.0513055,1.5533633,-0.30249184,1.207277,1.2534988,-1.285917,-0.5267307,1.1872281,1.2262617,1.2168945,1.3052626,1.7424238,1.16248,1.2126644,1.7167234,1.3263409,1.2171255,1.2852561,1.5980766,1.6333182,2.0947993,1.1785434,1.2273315,1.6476182
8,2.7525086,-0.758699,1.5443829,1.3994951,1.1639357,1.2209228,2.0519545,1.5535741,-0.30259624,1.2069267,1.2532016,-1.2856246,-0.5267451,1.1874727,1.226498,1.2174524,1.3049265,1.7421935,1.1624123,1.2120656,1.7166408,1.3261223,1.2169416,1.2859453,1.5978096,1.6331698,2.0950906,1.1786386,1.227017,1.6477901
9,2.7523928,-0.7590555,1.5444348,1.4001691,1.1639931,1.2212079,2.0523725,1.5537524,-0.30271223,1.206681,1.253498,-1.2856688,-0.52654916,1.1881137,1.2267591,1.2180806,1.304802,1.7422975,1.162673,1.2113332,1.7165433,1.3260523,1.2170293,1.286724,1.5976909,1.6330789,2.0960467,1.1791127,1.2270061,1.6480516
10,2.7533429,-0.758899,1.5449713,1.3999102,1.1641297,1.2211875,2.0517664,1.5532023,-0.30262122,1.2069724,1.2537798,-1.2858458,-0.52679974,1.1877894,1.2263129,1.2172886,1.3053739,1.7426324,1.1624197,1.2121608,1.7167255,1.3259699,1.2172246,1.2860049,1.597996,1.6328979,2.0956883,1.1788261,1.2272327,1.6480281
11,2.7523441,-0.7590448,1.5443608,1.3999969,1.1640594,1.221323,2.0524168,1.5537677,-0.30277425,1.2066952,1.2534167,-1.2857151,-0.5265502,1.1881108,1.2267371,1.2180622,1.304838,1.7422312,1.162791,1.2113308,1.7165328,1.3259759,1.2170129,1.2867414,1.5977374,1.6332371,2.0959864,1.1790822,1.2270267,1.648015
12,2.7528431,-0.758642,1.5445224,1.3996164,1.1639661,1.2207973,2.0518038,1.5535643,-0.30250436,1.2071586,1.2534388,-1.285847,-0.52666056,1.1875566,1.2264802,1.2173288,1.3051347,1.7424423,1.1625304,1.2123108,1.7166541,1.3263277,1.2170601,1.285823,1.5979197,1.633337,2.0951638,1.1787517,1.2272174,1.6478095
13,2.7527003,-0.75865114,1.5442635,1.3995719,1.1640003,1.2207917,2.0520105,1.5537726,-0.30255294,1.2072684,1.253317,-1.2859619,-0.5265039,1.1877474,1.2265661,1.2174836,1.3051851,1.7424297,1.1628585,1.2122545,1.7165747,1.3264121,1.2169858,1.2860147,1.597947,1.6338167,2.0952132,1.1788223,1.2273082,1.647743
14,2.7532184,-0.7584956,1.5449027,1.3993044,1.1641693,1.2209936,2.0512402,1.5531622,-0.30256242,1.2072197,1.253675,-1.2859707,-0.52678514,1.1873482,1.226148,1.2168111,1.305418,1.7425089,1.1624752,1.2126244,1.7167795,1.3261341,1.2172403,1.2853041,1.5981581,1.633156,2.0950382,1.178564,1.2273825,1.6477113
15,2.75304,-0.7589975,1.5445427,1.4000561,1.1640948,1.2211146,2.0522404,1.5536135,-0.3026588,1.2070931,1.2536097,-1.285973,-0.52652234,1.1881799,1.2265506,1.217717,1.3053449,1.7426366,1.1628706,1.2119088,1.7165488,1.3261496,1.2170858,1.2865118,1.5979263,1.633541,2.09591,1.1790793,1.2272973,1.6480163
16,2.7526233,-0.75874305,1.5444438,1.3995696,1.1639932,1.2210051,2.0519788,1.5535885,-0.30260426,1.2069836,1.2533151,-1.2857339,-0.5266886,1.1876365,1.2264967,1.2174788,1.3050156,1.7422795,1.1625206,1.2120476,1.7166642,1.3261263,1.217012,1.286017,1.5978683,1.6332453,2.095273,1.178739,1.2271011,1.6478496
17,2.7532248,-0.7589286,1.5446061,1.3999692,1.1641372,1.2210822,2.052102,1.5535531,-0.30264586,1.2072113,1.2536725,-1.2860713,-0.5265323,1.1881142,1.2264862,1.2175581,1.3054857,1.7427198,1.1629238,1.212114,1.7165625,1.3261986,1.2171276,1.2863504,1.5980147,1.6336516,2.0958095,1.1790314,1.2274004,1.6479717
