id,bed,bird,cat,dog,down,eight,five,four,go,happy,house,left,marvin,nine,no,off,on,one,right,seven,sheila,six,stop,three,tree,two,up,wow,yes,zero
0,7.9903054,6.2551975,3.6012564,5.302624,6.198697,5.797124,4.892855,6.900431,3.942872,5.5957103,8.289712,6.2918353,6.3359647,4.064373,7.7635493,5.074766,3.8606408,6.4557257,5.4807935,4.454133,6.379591,6.856674,4.3001504,6.2721753,7.473413,5.4684725,4.5932655,8.106846,3.9270756,4.6534824
1,7.9947586,6.25771,3.597311,5.3081775,6.1956964,5.802525,4.897782,6.899793,3.9478574,5.599762,8.290898,6.291752,6.3403597,4.066897,7.76202,5.081789,3.8572483,6.4586077,5.4792957,4.4513016,6.3842964,6.86229,4.3029723,6.277508,7.469848,5.4679484,4.592692,8.105214,3.9323375,4.650623
2,7.9952893,6.257844,3.5971687,5.3087754,6.1954107,5.8029795,4.898323,6.8995914,3.948152,5.600064,8.2909565,6.29176,6.34076,4.0670877,7.761967,5.0824194,3.8568442,6.458934,5.4792976,4.4509296,6.3845835,6.8626456,4.303286,6.278024,7.4695873,5.467928,4.5927877,8.105093,3.932802,4.650371
3,7.9976277,6.259288,3.5948622,5.3117576,6.193814,5.805971,4.900969,6.8993635,3.951014,5.602311,8.291675,6.291719,6.343159,4.0685062,7.761077,5.086249,3.8550813,6.4604864,5.4783964,4.449465,6.3872566,6.8658223,4.3047853,6.2809224,7.467598,5.467638,4.592373,8.104223,3.9356785,4.648821
4,7.996838,6.258749,3.5957572,5.3107224,6.1944003,5.804888,4.9000397,6.89942,3.9499493,5.601471,8.29142,6.2917647,6.342305,4.067993,7.761431,5.0848494,3.8557088,6.4599504,5.4787655,4.449981,6.3862576,6.864646,4.304256,6.2798867,7.468344,5.4677687,4.5925646,8.104549,3.9346468,4.6493855
5,7.994208,6.2572784,3.5980036,5.307442,6.1961,5.801742,4.8971653,6.899787,3.9470453,5.5991583,8.290693,6.2917557,6.3397403,4.066506,7.762285,5.080808,3.8576486,6.458252,5.4795985,4.451612,6.3835526,6.8613834,4.302616,6.276789,7.470387,5.4680285,4.592876,8.105466,3.9315789,4.6510267
6,7.9963226,6.2585535,3.5960526,5.3101187,6.1947384,5.804365,4.8994894,6.899574,3.9495332,5.6010723,8.291346,6.291787,6.3418517,4.0677676,7.7615547,5.0841126,3.8561308,6.459622,5.4788547,4.4503455,6.3858423,6.8641567,4.3039346,6.2793255,7.4686785,5.467818,4.5925446,8.104716,3.9341228,4.6496835
7,8.002999,6.2621846,3.590355,5.318403,6.190265,5.812345,4.906877,6.898502,3.9567938,5.6070495,8.2930355,6.2916427,6.3483715,4.0714726,7.7593336,5.09453,3.8510027,6.4639525,5.4767313,4.4460225,6.3927207,6.8723564,4.3081603,6.2872343,7.463436,5.467038,4.591808,8.102318,3.9419093,4.645431
8,7.9950204,6.2578225,3.597143,5.3085027,6.195541,5.802817,4.898085,6.8997374,3.9481096,5.5999665,8.290968,6.2917514,6.3406,4.0670276,7.761959,5.08217,3.8570476,6.4587955,5.4792495,4.4511156,6.3845277,6.8625584,4.3031416,6.2778153,7.4696755,5.4679337,4.5926933,8.105148,3.9326098,4.650474
9,7.990083,6.254962,3.601764,5.302278,6.1989965,5.796658,4.892481,6.9004226,3.9423544,5.59526,8.289625,6.2919602,6.3356094,4.064166,7.763781,5.074087,3.860943,6.455518,5.4810343,4.454367,6.379074,6.8561263,4.299935,6.2717295,7.4737854,5.4685936,4.5934134,8.107019,3.9266677,4.6537504
10,7.9974966,6.2592254,3.5950174,5.311569,6.193963,5.8057756,4.9007583,6.899406,3.9508286,5.6021214,8.291654,6.291778,6.3429995,4.0684285,7.761167,5.0859265,3.8552663,6.460363,5.478452,4.449616,6.3870587,6.865628,4.3046703,6.2807007,7.4677534,5.4676824,4.59238,8.104285,3.9355118,4.648936
11,7.9906754,6.255399,3.6009252,5.3031,6.198426,5.7975755,4.8932996,6.90036,3.9432986,5.596074,8.289805,6.291807,6.336338,4.06458,7.7634068,5.075399,3.8603175,6.4559865,5.4806747,4.4538603,6.38,6.8571415,4.300402,6.2726445,7.4731,5.46842,4.5932364,8.106711,3.9275143,4.6532416
12,7.997465,6.259147,3.5950413,5.31153,6.193891,5.80575,4.900806,6.899339,3.9507709,5.6021695,8.291584,6.291679,6.342987,4.068379,7.761138,5.0860095,3.8551524,6.4603896,5.4784694,4.449519,6.3870597,6.86556,4.304697,6.280729,7.467739,5.4676337,4.5924244,8.104272,3.935464,4.648911
13,7.9972253,6.258961,3.5952964,5.311229,6.1940217,5.805446,4.900592,6.8993254,3.950453,5.601964,8.291493,6.2916365,6.342748,4.0682154,7.761215,5.085668,3.8552694,6.460265,5.4785814,4.4496007,6.386792,6.865202,4.3045645,6.280466,7.4679317,5.467643,4.5925064,8.104369,3.9351525,4.6490607
14,8.0037155,6.262711,3.5894496,5.31937,6.189679,5.8133793,4.9077644,6.89845,3.9578495,5.6079,8.293273,6.2915573,6.34919,4.0719647,7.758958,5.0959177,3.850375,6.4644585,5.4763484,4.4455113,6.393719,6.873506,4.3086686,6.288225,7.462689,5.4668903,4.5916038,8.10199,3.9428954,4.6448812
15,7.994272,6.2573256,3.5979922,5.3075233,6.196133,5.8017945,4.8971996,6.89981,3.9471023,5.5991445,8.290748,6.2918186,6.3397784,4.066549,7.7623034,5.0808053,3.8576815,6.4582796,5.4796076,4.451631,6.383569,6.861442,4.302628,6.2768183,7.4703836,5.4680686,4.592871,8.105482,3.931636,4.651032
16,7.9953766,6.2579856,3.596936,5.308927,6.195354,5.8031845,4.898443,6.8996677,3.948426,5.6002088,8.291056,6.2917824,6.3409047,4.0672054,7.7618833,5.0826297,3.856815,6.4590077,5.479192,4.4509163,6.38481,6.862919,4.3033423,6.278186,7.46945,5.4679255,4.592695,8.105055,3.93298,4.6502934
17,7.9962983,6.258537,3.5959473,5.3101034,6.19462,5.804415,4.8995776,6.899527,3.9495816,5.6012087,8.291297,6.2916536,6.341892,4.0677495,7.761474,5.0843096,3.8559892,6.45967,5.478795,4.4502225,6.3859487,6.864198,4.3039885,6.2794137,7.468592,5.4677396,4.592534,8.104675,3.9341445,4.6496215
18,7.9971476,6.258962,3.5954213,5.3111215,6.1941953,5.805301,4.9003897,6.899409,3.9503586,5.601774,8.291526,6.2917657,6.3426285,4.068196,7.7613063,5.0853567,3.8554933,6.460153,5.47863,4.4498014,6.386632,6.865096,4.3044524,6.2802725,7.468073,5.467728,4.592491,8.104432,3.935047,4.649176
19,7.996663,6.25872,3.5958412,5.3105173,6.19455,5.804712,4.899818,6.899507,3.949827,5.60131,8.291419,6.2918153,6.342144,4.067934,7.761486,5.084549,3.8559139,6.4598136,5.4787836,4.450159,6.386112,6.8645062,4.3041267,6.2796664,7.4684668,5.4678025,4.5925317,8.104611,3.934486,4.6495023
20,8.00094,6.2610755,3.5921202,5.315859,6.1916604,5.809878,4.9045897,6.8988447,3.9545674,5.6051936,8.292532,6.2917066,6.346359,4.070336,7.7600255,5.091301,3.8526056,6.4626136,5.4773912,4.4473724,6.390591,6.8698316,4.3068514,6.2847877,7.465066,5.4672947,4.592032,8.103063,3.9395068,4.6467576
21,7.99417,6.2573075,3.5978284,5.307436,6.1959925,5.80183,4.8972445,6.8997912,3.9471693,5.5993156,8.290677,6.2916393,6.3397956,4.066524,7.7621818,5.081013,3.8575406,6.458295,5.479498,4.4515243,6.383711,6.861503,4.302659,6.2768884,7.4702744,5.467951,4.592817,8.105414,3.9316232,4.6509557
22,7.994036,6.2573085,3.597982,5.30728,6.1962337,5.8016386,4.89697,6.899923,3.9470453,5.599059,8.290738,6.2918057,6.3396335,4.066494,7.7622952,5.080589,3.8578532,6.45814,5.479561,4.451794,6.3834996,6.861359,4.3024993,6.276622,7.470459,5.468066,4.5927873,8.1055155,3.9314668,4.651117
23,8.002491,6.261933,3.5906644,5.3178,6.190517,5.8118176,4.906395,6.8985734,3.9563377,5.6067142,8.2929,6.291573,6.3479342,4.07121,7.7594323,5.093908,3.8512983,6.4636645,5.476829,4.4462724,6.392317,6.8718243,4.3078847,6.2867246,7.463746,5.4670434,4.5918255,8.102458,3.9413717,4.64569
24,7.9941316,6.2573223,3.597969,5.307378,6.196182,5.801708,4.8970575,6.899882,3.9470813,5.5991054,8.29074,6.2918077,6.3396955,4.0665216,7.7622895,5.0806885,3.8577797,6.4581914,5.479566,4.451728,6.383543,6.8614097,4.3025517,6.276707,7.470422,5.4680605,4.592811,8.105489,3.931543,4.651073
25,7.99822,6.259645,3.5942628,5.3125057,6.1933765,5.806736,4.901655,6.899287,3.9517388,5.6029086,8.291836,6.291673,6.3437767,4.068861,7.7608395,5.087257,3.8545997,6.460886,5.4781547,4.4490657,6.3879495,6.8666277,4.3051796,6.281671,7.4670806,5.4675426,4.592265,8.103981,3.9364135,4.648404
26,8.002446,6.2618804,3.5908601,5.3177238,6.190654,5.811661,4.9062514,6.8985906,3.9561832,5.6065297,8.292905,6.291672,6.3478203,4.0711646,7.7595267,5.0936437,3.8514397,6.463588,5.4769263,4.4463916,6.3921266,6.8716617,4.3078036,6.2865663,7.4638886,5.4671216,4.591881,8.102526,3.9412522,4.6458035
27,7.991949,6.2562437,3.599461,5.304755,6.1974225,5.7993307,4.894833,6.9002337,3.9450126,5.5974793,8.290184,6.2916703,6.3377347,4.0653872,7.7628126,5.0777316,3.8592331,6.45687,5.480065,4.452972,6.3816457,6.859036,4.301281,6.2743545,7.4718776,5.468179,4.592935,8.106158,3.9291728,4.6522956
28,7.994972,6.2577844,3.597298,5.3084154,6.1956725,5.802687,4.89795,6.8997674,3.947973,5.599797,8.290977,6.2918415,6.3404946,4.0669904,7.7620444,5.081918,3.857199,6.458721,5.479323,4.4512362,6.3843617,6.8624196,4.30306,6.277664,7.469797,5.467995,4.592723,8.105215,3.9325056,4.6505713
29,8.000424,6.260778,3.5925224,5.315215,6.1919484,5.8092914,4.9040666,6.8989024,3.9540133,5.604787,8.292375,6.2916574,6.3458757,4.0700397,7.760168,5.090581,3.852933,6.4623017,5.477536,4.447649,6.3901024,6.869209,4.3065524,6.2842216,7.465432,5.46732,4.5920897,8.103227,3.9389174,4.6470494
30,8.000229,6.2607274,3.592678,5.3149767,6.192154,5.809056,4.903779,6.898997,3.9538333,5.6045556,8.292381,6.291743,6.345674,4.0699663,7.76026,5.090175,3.8532007,6.462135,5.477586,4.447877,6.3898854,6.869009,4.3063893,6.2839437,7.465607,5.4673786,4.592068,8.103313,3.938703,4.647205
31,7.994239,6.257331,3.5979278,5.307507,6.1960874,5.8018155,4.8972173,6.899814,3.9471471,5.5992074,8.290737,6.291765,6.339794,4.066552,7.7622557,5.0808845,3.857636,6.458287,5.4795685,4.4516015,6.3836317,6.8614793,4.3026376,6.2768517,7.4703403,5.4680347,4.59285,8.10546,3.931639,4.6510057
32,7.996276,6.2585797,3.5959432,5.3100915,6.1946855,5.804395,4.899493,6.8995914,3.949605,5.601152,8.291335,6.291718,6.341872,4.0677752,7.7614956,5.0842037,3.8560958,6.459616,5.478782,4.4503236,6.3859267,6.864226,4.3039446,6.279354,7.4686236,5.4677753,4.592489,8.104681,3.9341352,4.649647
33,7.9988756,6.259924,3.5939713,5.3132696,6.1930923,5.807351,4.902252,6.8991637,3.9522328,5.6032662,8.291996,6.291787,6.3442993,4.0691667,7.7607627,5.08797,3.8542392,6.461243,5.4780912,4.4487495,6.3883753,6.8672185,4.305517,6.282282,7.4667444,5.467562,4.5922875,8.103827,3.9370604,4.648104
34,7.9901843,6.2550564,3.601634,5.3024144,6.198935,5.7968016,4.8925767,6.9004374,3.942512,5.59536,8.289669,6.2919774,6.3357244,4.0642476,7.763738,5.0742464,3.860891,6.455569,5.4809732,4.454332,6.3792067,6.856303,4.2999907,6.271848,7.4736905,5.4685884,4.593365,8.106972,3.9268107,4.6536803
35,7.9917784,6.2560515,3.5998578,5.3044853,6.1976457,5.7989736,4.8945475,6.9002223,3.9446044,5.597135,8.290111,6.291753,6.3374624,4.065225,7.7629924,5.0772123,3.8594542,6.456714,5.4802527,4.453144,6.381239,6.8586044,4.3011174,6.2740126,7.472173,5.468266,4.593051,8.106283,3.9288547,4.6524987
36,7.995296,6.2581363,3.5963695,5.3089643,6.1950502,5.803484,4.8986616,6.8997145,3.9488602,5.600675,8.291058,6.291487,6.3411064,4.067295,7.761576,5.0832353,3.856537,6.4591107,5.478883,4.450711,6.385314,6.8633356,4.303472,6.278483,7.4690933,5.467711,4.5924883,8.104895,3.9331794,4.650068
37,7.995601,6.258133,3.5967863,5.3091855,6.195294,5.803417,4.898609,6.8996863,3.9486382,5.6003146,8.291153,6.2918644,6.3410873,4.0673385,7.761865,5.0828295,3.8567698,6.459105,5.479138,4.450876,6.3849764,6.863172,4.3034363,6.2783737,7.4693313,5.467943,4.592652,8.105003,3.933225,4.650195
38,7.99211,6.2561874,3.599708,5.304869,6.197499,5.7992883,4.894857,6.9001613,3.944857,5.5973206,8.29019,6.2918096,6.33773,4.065381,7.7629533,5.0775776,3.8592713,6.456901,5.4802217,4.4529796,6.381461,6.858901,4.3012915,6.2743254,7.471998,5.4682717,4.5930643,8.106206,3.9291787,4.652342
39,7.990063,6.2550817,3.6014047,5.302338,6.1988206,5.796868,4.8926225,6.900466,3.9426572,5.5955486,8.289648,6.291809,6.335756,4.0642486,7.763597,5.074465,3.8607876,6.455585,5.4808426,4.454256,6.3793993,6.8564234,4.300019,6.2719274,7.47356,5.4684772,4.593278,8.106915,3.9268208,4.6536126
40,7.9965477,6.2586913,3.5958726,5.310395,6.194613,5.8046207,4.899707,6.89955,3.9497705,5.601246,8.291412,6.2918096,6.3420625,4.067897,7.7614975,5.0844197,3.8559988,6.45975,5.478783,4.4502316,6.386052,6.8644304,4.304063,6.279567,7.468518,5.467808,4.592508,8.104638,3.934382,4.6495543
41,7.996286,6.258575,3.5960898,5.3100734,6.1948314,5.8043156,4.899396,6.8996363,3.9495063,5.6009774,8.291383,6.291862,6.3418026,4.067773,7.761596,5.0839553,3.8562655,6.459565,5.4788623,4.4504538,6.3857775,6.864131,4.303877,6.2792363,7.4687324,5.467857,4.592517,8.104753,3.9340851,4.6497374
42,7.99597,6.2583566,3.5963295,5.3096714,6.1949377,5.8039513,4.899108,6.899616,3.9491463,5.600787,8.291231,6.2917614,6.3415203,4.0675616,7.761656,5.083601,3.8563678,6.459395,5.4789453,4.4505486,6.3854966,6.8637285,4.3037214,6.2789164,7.4689393,5.4678373,4.5925736,8.104818,3.9337194,4.6498837
43,7.9857106,6.252713,3.6048827,5.296973,6.2014794,5.791818,4.887999,6.9010687,3.938049,5.5919437,8.28844,6.291668,6.331628,4.061844,7.764873,5.0680776,3.8638413,6.4528527,5.4820952,4.4568276,6.3751526,6.8512287,4.2973766,6.2669525,7.476765,5.4688153,4.593724,8.108357,3.9218533,4.6562138
44,7.995505,6.2581296,3.5965269,5.309141,6.195068,5.803524,4.898741,6.89964,3.9487882,5.600597,8.291069,6.2916055,6.3411665,4.067326,7.7616806,5.0832014,3.856519,6.4591656,5.478988,4.4506826,6.3852215,6.863307,4.30352,6.2785335,7.469146,5.4677825,4.5925846,8.104906,3.933263,4.6500626
45,7.9928117,6.2566566,3.59896,5.3057747,6.1970124,5.800219,4.895655,6.900115,3.9457655,5.5980244,8.290423,6.2917924,6.3384686,4.0658274,7.7626634,5.07876,3.8587463,6.457369,5.479914,4.452546,6.3823066,6.859908,4.3017464,6.275215,7.471375,5.4681807,4.5929055,8.105932,3.93007,4.651864
46,7.9935436,6.2569594,3.598433,5.30665,6.1964736,5.80104,4.896507,6.8999023,3.9464388,5.5986786,8.290532,6.291709,6.3391533,4.0661693,7.7624326,5.079931,3.858087,6.4578686,5.4797378,4.4519777,6.382996,6.86068,4.302236,6.276089,7.4708214,5.4680605,4.5929065,8.105672,3.930867,4.6513977
47,7.995567,6.2581677,3.596647,5.309185,6.19522,5.8034854,4.8986616,6.8996997,3.9487476,5.6004314,8.291151,6.2917843,6.341134,4.0673594,7.761783,5.0829782,3.8566988,6.4591303,5.4790616,4.4508233,6.3850985,6.8632703,4.303466,6.2784457,7.469244,5.467891,4.5926003,8.104968,3.933265,4.6501436
48,7.9969044,6.2588725,3.595656,5.3108187,6.1944566,5.804995,4.9000483,6.89952,3.9500964,5.6014647,8.291529,6.291874,6.342367,4.0680885,7.7614355,5.084834,3.8558187,6.4599504,5.478718,4.4500732,6.3863325,6.864806,4.304249,6.27992,7.4683037,5.4678106,4.59249,8.104554,3.9347587,4.649381
49,7.99675,6.2587776,3.5957754,5.310625,6.1945267,5.8048124,4.899899,6.8995185,3.9499295,5.601359,8.291469,6.291843,6.3422227,4.067992,7.7614684,5.084645,3.8558877,6.4598637,5.4787645,4.4501333,6.3861895,6.8646145,4.3041673,6.279755,7.468408,5.467811,4.592516,8.104598,3.9345791,4.6494656
50,7.993765,6.2570767,3.5983891,5.306901,6.196465,5.801211,4.8966227,6.899915,3.9465895,5.5987043,8.290629,6.2918415,6.3392987,4.0662875,7.762459,5.0800233,3.8580863,6.457942,5.4797406,4.451981,6.383078,6.8608646,4.3023033,6.2762237,7.470767,5.468127,4.5928984,8.105649,3.9310682,4.651341
